City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.01,69,9,1.34,NZ,1715128297
1,bethel,41.3712,-73.414,19.05,51,0,1.54,US,1715128284
2,port-aux-francais,-49.35,70.2167,4.63,78,37,14.48,TF,1715128287
3,mil'kovo,55.6078,37.7956,1.3,73,2,4.72,RU,1715128607
4,jumla,29.2747,82.1838,10.48,76,100,0.82,NP,1715128607
5,margaret river,-33.95,115.0667,17.95,56,41,5.41,AU,1715128305
6,chui,-33.6971,-53.4616,19.96,98,100,4.99,UY,1715128607
7,kodiak,57.79,-152.4072,5.73,87,100,3.09,US,1715128382
8,invercargill,-46.4,168.35,6.12,95,100,7.6,NZ,1715128244
9,ushuaia,-54.8,-68.3,0.81,80,0,3.09,AR,1715128296
10,kavaratti,10.5669,72.642,30.31,67,75,5.41,IN,1715128608
11,malango,-2.9627,119.9001,25.09,80,25,0.97,ID,1715128608
12,dongcun,36.7767,121.1597,20.25,34,0,3.25,CN,1715128608
13,hasaki,35.7333,140.8333,20.22,79,100,6.16,JP,1715128553
14,hovd,48.0056,91.6419,13.57,46,100,0.6,MN,1715128344
15,mabai,23.0128,104.4508,18.38,87,100,1.1,CN,1715128609
16,dhone,15.4167,77.8833,27.26,65,98,5.65,IN,1715128609
17,albany,42.6001,-73.9662,20.23,48,99,2.16,US,1715128211
18,safford,32.834,-109.7076,29.51,7,0,9.77,US,1715128609
19,port mathurin,-19.6833,63.4167,25.48,64,68,11.11,MU,1715128314
20,jobner,26.9667,75.3833,29.68,36,5,5.86,IN,1715128610
21,edinburgh of the seven seas,-37.0676,-12.3116,16.16,90,100,20.18,SH,1715128286
22,ust-nera,64.5667,143.2,3.36,76,100,2.47,RU,1715128310
23,iqaluit,63.7506,-68.5145,-2.15,74,20,4.63,CA,1715128297
24,nar'yan-mar,67.6713,53.087,-9.34,97,98,4.33,RU,1715128285
25,zhangjiakou,40.81,114.8794,18.49,36,7,0.63,CN,1715128563
26,yellowknife,62.456,-114.3525,11.9,76,100,5.66,CA,1715128313
27,shasta lake,40.6804,-122.3708,23.4,22,4,2.96,US,1715128564
28,port elizabeth,-33.918,25.5701,20.05,91,20,11.32,ZA,1715128300
29,weno,7.4515,151.8468,25.97,94,100,3.6,FM,1715128380
30,lompoc,34.6391,-120.4579,22.1,62,0,8.75,US,1715128246
31,malvan,16.0667,73.4667,25.89,87,3,3.54,IN,1715128612
32,calama,-22.4667,-68.9333,16.27,18,0,2.57,CL,1715128421
33,kingman,35.1894,-114.053,28.99,5,0,5.14,US,1715128419
34,kavieng,-2.5744,150.7967,28.14,82,100,6.64,PG,1715128400
35,puerto ayora,-0.7393,-90.3518,24.19,97,100,2.75,EC,1715128292
36,kikwit,-5.041,18.8162,23.74,59,19,1.2,CD,1715128612
37,brooks,50.5834,-111.8851,4.99,88,100,15.43,CA,1715128441
38,avarua,-21.2078,-159.775,28.03,94,75,3.6,CK,1715128315
39,arraial do cabo,-22.9661,-42.0278,25.92,73,0,7.72,BR,1715128331
40,ribeira grande,38.5167,-28.7,17.65,93,27,4.02,PT,1715128295
41,moree,-29.4667,149.85,21.62,39,7,3.5,AU,1715128614
42,hadibu,12.65,54.0333,28.54,78,0,0.84,YE,1715128347
43,ouallam,14.3188,2.0866,29.46,50,26,6.26,NE,1715128614
44,chatra,24.2167,84.8667,26.1,49,0,0.62,IN,1715128615
45,paphos,34.7667,32.4167,14.88,67,20,4.12,CY,1715128615
46,constantia,44.1833,28.65,15.39,89,100,3.18,RO,1715128389
47,dolores,-36.3132,-57.6792,16.5,98,100,0.67,AR,1715128575
48,makhambet,47.6667,51.5833,12.9,91,100,8.33,KZ,1715128615
49,atafu village,-8.5421,-172.5159,28.87,78,100,4.17,TK,1715128319
50,belyy yar,53.6039,91.3903,7.94,66,0,2.0,RU,1715128616
51,cabo san lucas,22.8909,-109.9124,29.23,34,75,5.66,MX,1715128202
52,badger,64.8,-147.5333,11.11,48,100,2.06,US,1715128346
